time,issue_id,event_id,type,author,action,url
2025-04-21 16:18:08+00:00,75,17340496634,label,fredaatz,labeled Decision Maker,https://github.com/fredaatz/my-ggi-board/issues/75
2025-04-21 16:18:08+00:00,75,17340496641,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/75
2025-04-21 16:18:08+00:00,75,17340496648,label,fredaatz,labeled Strategy Goal,https://github.com/fredaatz/my-ggi-board/issues/75
2025-04-21 16:18:06+00:00,74,17340496233,label,fredaatz,labeled Decision Maker,https://github.com/fredaatz/my-ggi-board/issues/74
2025-04-21 16:18:06+00:00,74,17340496239,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/74
2025-04-21 16:18:06+00:00,74,17340496245,label,fredaatz,labeled Strategy Goal,https://github.com/fredaatz/my-ggi-board/issues/74
2025-04-21 16:18:03+00:00,73,17340495386,label,fredaatz,labeled Decision Maker,https://github.com/fredaatz/my-ggi-board/issues/73
2025-04-21 16:18:03+00:00,73,17340495392,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/73
2025-04-21 16:18:03+00:00,73,17340495398,label,fredaatz,labeled Strategy Goal,https://github.com/fredaatz/my-ggi-board/issues/73
2025-04-21 16:18:00+00:00,72,17340494931,label,fredaatz,labeled Decision Maker,https://github.com/fredaatz/my-ggi-board/issues/72
2025-04-21 16:18:00+00:00,72,17340494937,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/72
2025-04-21 16:18:00+00:00,72,17340494944,label,fredaatz,labeled Strategy Goal,https://github.com/fredaatz/my-ggi-board/issues/72
2025-04-21 16:17:58+00:00,71,17340494548,label,fredaatz,labeled Decision Maker,https://github.com/fredaatz/my-ggi-board/issues/71
2025-04-21 16:17:58+00:00,71,17340494552,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/71
2025-04-21 16:17:58+00:00,71,17340494557,label,fredaatz,labeled Strategy Goal,https://github.com/fredaatz/my-ggi-board/issues/71
2025-04-21 16:17:55+00:00,70,17340494104,label,fredaatz,labeled Decision Maker,https://github.com/fredaatz/my-ggi-board/issues/70
2025-04-21 16:17:55+00:00,70,17340494108,label,fredaatz,labeled Engagement Goal,https://github.com/fredaatz/my-ggi-board/issues/70
2025-04-21 16:17:55+00:00,70,17340494114,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/70
2025-04-21 16:17:52+00:00,69,17340493657,label,fredaatz,labeled Decision Maker,https://github.com/fredaatz/my-ggi-board/issues/69
2025-04-21 16:17:52+00:00,69,17340493662,label,fredaatz,labeled Engagement Goal,https://github.com/fredaatz/my-ggi-board/issues/69
2025-04-21 16:17:52+00:00,69,17340493668,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/69
2025-04-21 16:17:50+00:00,68,17340492722,label,fredaatz,labeled Decision Maker,https://github.com/fredaatz/my-ggi-board/issues/68
2025-04-21 16:17:50+00:00,68,17340492733,label,fredaatz,labeled Engagement Goal,https://github.com/fredaatz/my-ggi-board/issues/68
2025-04-21 16:17:50+00:00,68,17340492741,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/68
2025-04-21 16:17:50+00:00,68,17340492755,label,fredaatz,labeled Team Leader,https://github.com/fredaatz/my-ggi-board/issues/68
2025-04-21 16:17:47+00:00,67,17340492098,label,fredaatz,labeled Decision Maker,https://github.com/fredaatz/my-ggi-board/issues/67
2025-04-21 16:17:47+00:00,67,17340492101,label,fredaatz,labeled Engagement Goal,https://github.com/fredaatz/my-ggi-board/issues/67
2025-04-21 16:17:47+00:00,67,17340492106,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/67
2025-04-21 16:17:44+00:00,66,17340491703,label,fredaatz,labeled Decision Maker,https://github.com/fredaatz/my-ggi-board/issues/66
2025-04-21 16:17:44+00:00,66,17340491706,label,fredaatz,labeled Developer,https://github.com/fredaatz/my-ggi-board/issues/66
2025-04-21 16:17:44+00:00,66,17340491709,label,fredaatz,labeled Engagement Goal,https://github.com/fredaatz/my-ggi-board/issues/66
2025-04-21 16:17:44+00:00,66,17340491715,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/66
2025-04-21 16:17:42+00:00,65,17340491267,label,fredaatz,labeled Culture Goal,https://github.com/fredaatz/my-ggi-board/issues/65
2025-04-21 16:17:42+00:00,65,17340491272,label,fredaatz,labeled Developer,https://github.com/fredaatz/my-ggi-board/issues/65
2025-04-21 16:17:42+00:00,65,17340491277,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/65
2025-04-21 16:17:42+00:00,65,17340491280,label,fredaatz,labeled Team Leader,https://github.com/fredaatz/my-ggi-board/issues/65
2025-04-21 16:17:39+00:00,64,17340490797,label,fredaatz,labeled Culture Goal,https://github.com/fredaatz/my-ggi-board/issues/64
2025-04-21 16:17:39+00:00,64,17340490803,label,fredaatz,labeled Decision Maker,https://github.com/fredaatz/my-ggi-board/issues/64
2025-04-21 16:17:39+00:00,64,17340490810,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/64
2025-04-21 16:17:36+00:00,63,17340489985,label,fredaatz,labeled Culture Goal,https://github.com/fredaatz/my-ggi-board/issues/63
2025-04-21 16:17:36+00:00,63,17340489991,label,fredaatz,labeled Decision Maker,https://github.com/fredaatz/my-ggi-board/issues/63
2025-04-21 16:17:36+00:00,63,17340489997,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/63
2025-04-21 16:17:36+00:00,63,17340490001,label,fredaatz,labeled Team Leader,https://github.com/fredaatz/my-ggi-board/issues/63
2025-04-21 16:17:34+00:00,62,17340489535,label,fredaatz,labeled Culture Goal,https://github.com/fredaatz/my-ggi-board/issues/62
2025-04-21 16:17:34+00:00,62,17340489542,label,fredaatz,labeled Developer,https://github.com/fredaatz/my-ggi-board/issues/62
2025-04-21 16:17:34+00:00,62,17340489548,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/62
2025-04-21 16:17:34+00:00,62,17340489551,label,fredaatz,labeled Team Leader,https://github.com/fredaatz/my-ggi-board/issues/62
2025-04-21 16:17:31+00:00,61,17340489074,label,fredaatz,labeled Culture Goal,https://github.com/fredaatz/my-ggi-board/issues/61
2025-04-21 16:17:31+00:00,61,17340489076,label,fredaatz,labeled Developer,https://github.com/fredaatz/my-ggi-board/issues/61
2025-04-21 16:17:31+00:00,61,17340489079,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/61
2025-04-21 16:17:31+00:00,61,17340489084,label,fredaatz,labeled Team Leader,https://github.com/fredaatz/my-ggi-board/issues/61
2025-04-21 16:17:28+00:00,60,17340488616,label,fredaatz,labeled Developer,https://github.com/fredaatz/my-ggi-board/issues/60
2025-04-21 16:17:28+00:00,60,17340488626,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/60
2025-04-21 16:17:28+00:00,60,17340488635,label,fredaatz,labeled Team Leader,https://github.com/fredaatz/my-ggi-board/issues/60
2025-04-21 16:17:28+00:00,60,17340488642,label,fredaatz,labeled Trust Goal,https://github.com/fredaatz/my-ggi-board/issues/60
2025-04-21 16:17:26+00:00,59,17340488202,label,fredaatz,labeled Decision Maker,https://github.com/fredaatz/my-ggi-board/issues/59
2025-04-21 16:17:26+00:00,59,17340488205,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/59
2025-04-21 16:17:26+00:00,59,17340488211,label,fredaatz,labeled Team Leader,https://github.com/fredaatz/my-ggi-board/issues/59
2025-04-21 16:17:26+00:00,59,17340488218,label,fredaatz,labeled Trust Goal,https://github.com/fredaatz/my-ggi-board/issues/59
2025-04-21 16:17:23+00:00,58,17340487764,label,fredaatz,labeled Developer,https://github.com/fredaatz/my-ggi-board/issues/58
2025-04-21 16:17:23+00:00,58,17340487766,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/58
2025-04-21 16:17:23+00:00,58,17340487768,label,fredaatz,labeled Team Leader,https://github.com/fredaatz/my-ggi-board/issues/58
2025-04-21 16:17:23+00:00,58,17340487772,label,fredaatz,labeled Trust Goal,https://github.com/fredaatz/my-ggi-board/issues/58
2025-04-21 16:17:20+00:00,57,17340487333,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/57
2025-04-21 16:17:20+00:00,57,17340487343,label,fredaatz,labeled Team Leader,https://github.com/fredaatz/my-ggi-board/issues/57
2025-04-21 16:17:20+00:00,57,17340487349,label,fredaatz,labeled Trust Goal,https://github.com/fredaatz/my-ggi-board/issues/57
2025-04-21 16:17:17+00:00,56,17340486866,label,fredaatz,labeled Decision Maker,https://github.com/fredaatz/my-ggi-board/issues/56
2025-04-21 16:17:18+00:00,56,17340486869,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/56
2025-04-21 16:17:18+00:00,56,17340486873,label,fredaatz,labeled Trust Goal,https://github.com/fredaatz/my-ggi-board/issues/56
2025-04-21 16:17:15+00:00,55,17340486474,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/55
2025-04-21 16:17:15+00:00,55,17340486479,label,fredaatz,labeled Team Leader,https://github.com/fredaatz/my-ggi-board/issues/55
2025-04-21 16:17:15+00:00,55,17340486485,label,fredaatz,labeled Usage Goal,https://github.com/fredaatz/my-ggi-board/issues/55
2025-04-21 16:17:12+00:00,54,17340486032,label,fredaatz,labeled Decision Maker,https://github.com/fredaatz/my-ggi-board/issues/54
2025-04-21 16:17:12+00:00,54,17340486034,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/54
2025-04-21 16:17:12+00:00,54,17340486039,label,fredaatz,labeled Usage Goal,https://github.com/fredaatz/my-ggi-board/issues/54
2025-04-21 16:17:10+00:00,53,17340485574,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/53
2025-04-21 16:17:10+00:00,53,17340485583,label,fredaatz,labeled Team Leader,https://github.com/fredaatz/my-ggi-board/issues/53
2025-04-21 16:17:10+00:00,53,17340485595,label,fredaatz,labeled Usage Goal,https://github.com/fredaatz/my-ggi-board/issues/53
2025-04-21 16:17:07+00:00,52,17340484859,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/52
2025-04-21 16:17:07+00:00,52,17340484867,label,fredaatz,labeled Team Leader,https://github.com/fredaatz/my-ggi-board/issues/52
2025-04-21 16:17:07+00:00,52,17340484873,label,fredaatz,labeled Usage Goal,https://github.com/fredaatz/my-ggi-board/issues/52
2025-04-21 16:17:04+00:00,51,17340484328,label,fredaatz,labeled Developer,https://github.com/fredaatz/my-ggi-board/issues/51
2025-04-21 16:17:04+00:00,51,17340484333,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/51
2025-04-21 16:17:04+00:00,51,17340484341,label,fredaatz,labeled Team Leader,https://github.com/fredaatz/my-ggi-board/issues/51
2025-04-21 16:17:04+00:00,51,17340484347,label,fredaatz,labeled Usage Goal,https://github.com/fredaatz/my-ggi-board/issues/51
2025-04-21 15:23:43+00:00,50,17339860990,label,fredaatz,labeled Decision Maker,https://github.com/fredaatz/my-ggi-board/issues/50
2025-04-21 15:23:43+00:00,50,17339860998,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/50
2025-04-21 15:23:43+00:00,50,17339861006,label,fredaatz,labeled Strategy Goal,https://github.com/fredaatz/my-ggi-board/issues/50
2025-04-21 15:23:40+00:00,49,17339860531,label,fredaatz,labeled Decision Maker,https://github.com/fredaatz/my-ggi-board/issues/49
2025-04-21 15:23:40+00:00,49,17339860535,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/49
2025-04-21 15:23:40+00:00,49,17339860542,label,fredaatz,labeled Strategy Goal,https://github.com/fredaatz/my-ggi-board/issues/49
2025-04-21 15:23:37+00:00,48,17339859964,label,fredaatz,labeled Decision Maker,https://github.com/fredaatz/my-ggi-board/issues/48
2025-04-21 15:23:37+00:00,48,17339859989,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/48
2025-04-21 15:23:37+00:00,48,17339860011,label,fredaatz,labeled Strategy Goal,https://github.com/fredaatz/my-ggi-board/issues/48
2025-04-21 15:23:34+00:00,47,17339859167,label,fredaatz,labeled Decision Maker,https://github.com/fredaatz/my-ggi-board/issues/47
2025-04-21 15:23:34+00:00,47,17339859174,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/47
2025-04-21 15:23:34+00:00,47,17339859179,label,fredaatz,labeled Strategy Goal,https://github.com/fredaatz/my-ggi-board/issues/47
2025-04-21 15:23:32+00:00,46,17339858058,label,fredaatz,labeled Decision Maker,https://github.com/fredaatz/my-ggi-board/issues/46
2025-04-21 15:23:32+00:00,46,17339858068,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/46
2025-04-21 15:23:32+00:00,46,17339858080,label,fredaatz,labeled Strategy Goal,https://github.com/fredaatz/my-ggi-board/issues/46
2025-04-21 15:23:29+00:00,45,17339857312,label,fredaatz,labeled Decision Maker,https://github.com/fredaatz/my-ggi-board/issues/45
2025-04-21 15:23:29+00:00,45,17339857321,label,fredaatz,labeled Engagement Goal,https://github.com/fredaatz/my-ggi-board/issues/45
2025-04-21 15:23:29+00:00,45,17339857326,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/45
2025-04-21 15:23:26+00:00,44,17339856814,label,fredaatz,labeled Decision Maker,https://github.com/fredaatz/my-ggi-board/issues/44
2025-04-21 15:23:26+00:00,44,17339856822,label,fredaatz,labeled Engagement Goal,https://github.com/fredaatz/my-ggi-board/issues/44
2025-04-21 15:23:26+00:00,44,17339856836,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/44
2025-04-21 15:23:24+00:00,43,17339856353,label,fredaatz,labeled Decision Maker,https://github.com/fredaatz/my-ggi-board/issues/43
2025-04-21 15:23:24+00:00,43,17339856364,label,fredaatz,labeled Engagement Goal,https://github.com/fredaatz/my-ggi-board/issues/43
2025-04-21 15:23:24+00:00,43,17339856368,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/43
2025-04-21 15:23:24+00:00,43,17339856374,label,fredaatz,labeled Team Leader,https://github.com/fredaatz/my-ggi-board/issues/43
2025-04-21 15:23:21+00:00,42,17339855870,label,fredaatz,labeled Decision Maker,https://github.com/fredaatz/my-ggi-board/issues/42
2025-04-21 15:23:21+00:00,42,17339855878,label,fredaatz,labeled Engagement Goal,https://github.com/fredaatz/my-ggi-board/issues/42
2025-04-21 15:23:21+00:00,42,17339855886,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/42
2025-04-21 15:23:18+00:00,41,17339855284,label,fredaatz,labeled Decision Maker,https://github.com/fredaatz/my-ggi-board/issues/41
2025-04-21 15:23:18+00:00,41,17339855292,label,fredaatz,labeled Developer,https://github.com/fredaatz/my-ggi-board/issues/41
2025-04-21 15:23:18+00:00,41,17339855297,label,fredaatz,labeled Engagement Goal,https://github.com/fredaatz/my-ggi-board/issues/41
2025-04-21 15:23:18+00:00,41,17339855300,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/41
2025-04-21 15:23:15+00:00,40,17339854479,label,fredaatz,labeled Culture Goal,https://github.com/fredaatz/my-ggi-board/issues/40
2025-04-21 15:23:15+00:00,40,17339854490,label,fredaatz,labeled Developer,https://github.com/fredaatz/my-ggi-board/issues/40
2025-04-21 15:23:15+00:00,40,17339854497,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/40
2025-04-21 15:23:15+00:00,40,17339854500,label,fredaatz,labeled Team Leader,https://github.com/fredaatz/my-ggi-board/issues/40
2025-04-21 15:23:12+00:00,39,17339853234,label,fredaatz,labeled Culture Goal,https://github.com/fredaatz/my-ggi-board/issues/39
2025-04-21 15:23:12+00:00,39,17339853255,label,fredaatz,labeled Decision Maker,https://github.com/fredaatz/my-ggi-board/issues/39
2025-04-21 15:23:12+00:00,39,17339853266,label,fredaatz,labeled Not Selected,https://github.com/fredaatz/my-ggi-board/issues/39
2025-04-21 15:23:09+00:00,38,17339852606,label,fredaatz,labeled Culture Goal,https://github.com/fredaatz/my-ggi-board/issues/38
2025-04-21 15:23:09+00:00,38,17339852615,label,fredaatz,labeled Decision Maker,https://github.com/fredaatz/my-ggi-board/issues/38
